"","college_Player","college_G","college_GS","college_MP","college_FG","college_FGA","college_FG.","college_2P","college_2PA","college_2P.","college_3P","college_3PA","college_3P.","college_FT","college_FTA","college_FT.","college_ORB","college_DRB","college_TRB","college_AST","college_STL","college_BLK","college_TOV","college_PF","college_PTS","college_Team","nba_G","nba_MP","nba_PER","nba_OWS","nba_DWS","nba_WS","nba_WS.48","nba_OBPM","nba_DBPM","nba_BPM","nba_VORP"
"241","Isaiah Joe",15.5,15,33,4.6,11.6,0.398,1.2,2.65,0.4445,3.4,8.95,0.385,2.25,2.55,0.8575,0.5,2.8,3.3,1.5,1.4,0.2,1.25,1.85,14.8,"arkansas",41,383,9.5,0.2,0.4,0.6,0.078,-2,-1,-3,-0.1
"242","Isaiah Roby",18.3333333333333,11.6666666666667,25.5333333333333,3.1,6.23333333333333,0.502,2.5,4.76666666666667,0.526,0.633333333333333,1.5,0.413,1.56666666666667,2.4,0.661333333333333,1.83333333333333,4.1,5.96666666666667,1.53333333333333,0.9,1.56666666666667,1.6,3.1,8.3,"nebraska",32,718,2.1,-0.2,0.75,0.65,-0.0725,-7.85,-1.5,-9.35,-0.25
"243","Isaiah Stewart",18,18,33.5,4.8,9.4,0.515,4.6,8.7,0.529,0.2,0.7,0.333,4.8,6.1,0.789,2.6,5.9,8.6,1,0.7,2.4,2.4,2.3,14.7,"washington",68,1455,16.4,1.9,2.1,4,0.132,-1.6,0.5,-1.1,0.3
"244","Isaiah Taylor",18,18,31.7333333333333,4.43333333333333,11.4666666666667,0.387333333333333,4.13333333333333,10.1666666666667,0.407333333333333,0.3,1.3,0.243,4.5,5.33333333333333,0.849,0.333333333333333,2.86666666666667,3.2,4.53333333333333,1.06666666666667,0.166666666666667,2.2,2.7,13.7333333333333,"texas",35.5,609.5,5.6,0.05,0.25,0.3,-5e-04,-5,-1.1,-6.1,-0.4
"245","Isaiah Thomas",17.2,8.6,15.74,2.16,4.38,0.5394,1.78,3.3,0.5538,0.38,1.08,NA,1.34,1.98,0.5282,0.82,2.04,2.86,1.46,0.36,0.56,1.1,2.16,5.98,"washington",44.7857142857143,1272.71428571429,16.0642857142857,3.08571428571429,0.571428571428571,3.65714285714286,0.0775,1.40714285714286,-2.30714285714286,-0.914285714285714,1.29285714285714
"246","Isaiah Whitehead",14,12.5,31.3,5.1,13.5,0.3725,2.75,7.3,0.371,2.35,6.2,0.3735,3.6,4.55,0.785,0.8,2.65,3.45,4.55,1.4,1.1,3.65,2.65,16.1,"seton-hall",44.5,911.5,9.55,-1,0.55,-0.45,-0.029,-3.85,-0.6,-4.45,-0.7
"247","Ivan Johnson",10,0,5.6,0.3,1.5,0.2,0.2,1.1,0.182,0.1,0.4,0.25,0.6,1.1,0.545,0.2,0.6,0.8,0.4,0.6,0.1,0.4,0.5,1.3,"alabama-state",62.5,984.5,15,0.55,1.7,2.25,0.1095,-2.55,0.65,-1.9,0.05
"248","J.J. O'Brien",17,16.75,30.55,3.625,7.625,0.4695,3.475,7.075,0.487,0.125,0.55,0.251,1.425,2.35,0.59875,2.475,2.825,5.325,1.65,0.9,0.275,1.45,1.975,8.725,"utah",2,6,1.3,0,0,0,-0.028,-11.5,5.3,-6.2,0
"249","J.P. Macura",18,10.25,25.525,3.5,7.95,0.435,2.25,4.15,0.54625,1.275,3.8,0.32975,2.35,2.975,0.792,1.225,1.95,3.175,2.125,0.975,0.175,1.65,2.25,10.575,"xavier",1.5,9,2.85,0,0,0,-0.066,-4.95,-2.05,-7.05,0
"250","Ja Morant",18,18,36.25,6.1,12.7,0.486,4.8,8.8,0.555,1.3,3.85,0.3235,5.25,6.5,0.798,1.45,4.35,5.8,8.5,1.45,0.65,3.95,1.95,18.8,"murray-state",65,2063.5,17.05,1.95,1.55,3.5,0.081,1.35,-1.4,-0.05,1
"251","Jabari Brown",18,18,34.85,5.2,11.55,0.4475,2.9,5.75,0.504,2.3,5.8,0.395,4.95,6.05,0.812,0.5,3.1,3.6,1.95,0.7,0.1,1.95,1.75,17.65,"missouri",19,568,11,0.4,0,0.4,0.033,-1.9,-2.4,-4.3,-0.3
"252","Jabari Parker",18,18,30.4,5.9,13.1,0.453,5.1,10.2,0.497,0.9,2.9,0.302,4.8,6.6,0.731,3.8,6,9.8,0.8,1,1.4,2.3,2.3,17.6,"duke",31.7692307692308,863.769230769231,16.2,0.623076923076923,0.669230769230769,1.28461538461538,0.0769230769230769,-0.238461538461538,-0.8,-1.01538461538462,0.246153846153846
"253","Jack Cooley",18,12,24.4666666666667,3.93333333333333,6.73333333333333,0.595,3.93333333333333,6.73333333333333,0.595,0,0,NA,2.1,3.13333333333333,0.586666666666667,3.2,4.53333333333333,7.7,0.533333333333333,0.466666666666667,1.03333333333333,1,2.36666666666667,10,"notre-dame",11.5,87,15.55,0.15,0.1,0.25,0.137,-2.85,-0.2,-3.15,-0.05
"254","Jacob Evans",18,14,29.5666666666667,3.73333333333333,9.4,0.397,2.16666666666667,4.96666666666667,0.439666666666667,1.6,4.5,0.354333333333333,1.66666666666667,2.3,0.7,1.3,2.76666666666667,4.1,2.66666666666667,1.2,0.833333333333333,1.13333333333333,2,10.7666666666667,"cincinnati",22,260,1.25,-0.4,0.15,-0.275,-0.10075,-7.225,-2.325,-9.6,-0.325
"255","Jacob Pullen",16,15,34.2,6.2,14.9,0.416,3.8,8.8,0.426,2.4,6.1,0.402,6.6,8.3,0.795,0.6,1.9,2.5,3.4,1.5,0.2,3.2,1.9,21.4,"kansas-state",3,6,-2.3,0,0,0,-0.21,-8.3,-4.4,-12.7,0
"256","Jacob Wiley",13.8333333333333,3.16666666666667,13.3666666666667,2.2,3.81666666666667,0.476166666666667,2.16666666666667,3.65,0.514,0.05,0.166666666666667,0.291666666666667,1.35,1.88333333333333,NA,0.916666666666667,2.51666666666667,3.43333333333333,0.7,0.25,0.716666666666667,1.13333333333333,1.66666666666667,5.8,"montana",5,33,8.2,0,0,0.1,0.094,-3.6,1.4,-2.3,0
"257","Jaden McDaniels",17,8,28.5,4,10.5,0.382,2.6,6.1,0.423,1.4,4.4,0.324,2.7,3.5,0.767,1.3,4.7,6,1.7,0.4,1.6,3,3.1,12.1,"washington",63,1511,8.9,0.5,0.9,1.4,0.046,-3.3,-0.2,-3.5,-0.6
"258","Jae Crowder",18,16,32.75,5.35,10.85,0.492,3.9,6.55,0.591,1.5,4.3,0.342,3.05,4.35,0.6955,1.95,5.8,7.75,2.05,2.05,1,1.05,2.75,15.25,"marquette",59.6666666666667,1485.86666666667,12.5733333333333,1.40666666666667,1.67333333333333,3.06666666666667,0.0979333333333333,-0.506666666666667,0.426666666666667,-0.0866666666666666,0.733333333333333
"259","Jae'Sean Tate",17.25,15.75,29.15,5.05,9.1,0.5575,4.75,8.05,0.59675,0.25,1.05,0.2565,2.05,3.55,0.57325,1.8,4,5.8,1.75,1.025,0.525,1.7,2.975,12.375,"ohio-state",70,2043,13.8,2.2,1.6,3.8,0.088,-1.6,0.3,-1.4,0.3
