"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","Year","Acronym"
"109",85,"Tyson Chandler","C",28,"DAL",74,2059,18.4,0.697,0.725,12.2,26.6,19.7,2.4,0.9,3,14.1,14.2,5.8,3.5,9.4,0.218,0.6,1,1.5,1.8,2011,"chandty01"
"110",187,"Al Harrington","PF",30,"DEN",73,1665,12.3,0.527,0.173,5.4,17.2,11.5,9.6,1.2,0.5,12.7,22.3,0.6,1.5,2.1,0.06,-0.6,-1.1,-1.7,0.1,2011,"harrial01"
"111",81,"Anthony Carter","PG",35,"DEN",14,153,5.4,0.421,0.067,0,8.8,4.5,23.2,3,0.5,31.2,13.1,-0.2,0.2,-0.1,-0.018,-5,1.3,-3.7,-0.1,2011,"cartean01"
"112",2,"Arron Afflalo","SG",25,"DEN",69,2324,13.6,0.62,0.26,2.3,9.9,6.2,10.9,0.7,1,9.2,14.8,4.8,1.4,6.2,0.128,1.7,-0.3,1.4,2,2011,"afflaar01"
"113",17,"Carmelo Anthony","SF",26,"DEN",50,1774,21.2,0.547,0.431,5.2,19.3,12.4,14.3,1.2,1.3,11,32.5,2.8,1.9,4.7,0.127,2.4,-1,1.4,1.5,2011,"anthoca01"
"114",46,"Chauncey Billups","PG",34,"DEN",51,1646,18.6,0.634,0.535,0.9,7.7,4.4,25.1,1.6,0.6,16.3,21.4,4.7,1.1,5.8,0.171,3.8,-0.9,2.9,2.1,2011,"billuch01"
"115",13,"Chris Andersen","C",32,"DEN",45,732,19,0.636,0.985,12.2,22.1,17.3,4,1.6,6,11.3,13.5,1.9,1.2,3.2,0.207,1.2,1.8,3,0.9,2011,"anderch01"
"116",156,"Danilo Gallinari","SF",22,"DEN",14,433,15.9,0.587,0.771,3,16.8,10.1,7.5,1.5,1.6,12.5,20.6,0.7,0.5,1.2,0.133,1.7,1.3,3,0.5,2011,"gallida01"
"117",149,"Gary Forbes","SF",25,"DEN",63,791,11.7,0.524,0.319,4.2,12.5,8.5,9.7,1.5,0.6,12.9,20.1,0.3,0.7,0.9,0.055,-2,-0.8,-2.9,-0.2,2011,"forbega01"
"118",374,"J.R. Smith","SF",25,"DEN",79,1968,16.4,0.55,0.282,2.7,15.8,9.4,14.2,2.3,0.6,10.2,22.2,2.6,2.3,5,0.121,1.1,0.6,1.7,1.9,2011,"smithjr01"
"119",275,"Kenyon Martin","PF",33,"DEN",48,1233,14.1,0.526,0.199,6.5,20.9,13.9,13.6,1.8,2.2,13,16.4,1,1.6,2.7,0.104,-0.8,1.7,0.9,0.9,2011,"martike01"
